S.No.,Year,Name,CTC,CTC_LPA,CSE,CSM,ECE,EEE,IT,MECH,CIVIL,Total
1,2020,Google,"Rs.21.00 Lakhs p.a. + 50,000$ as stock options",21,0,0,0,0,1,0,0,1
2,2020,Uber,"Rs.22.75 Lakhs p.a + 41,000$ as stock options",22.75,0,0,1,0,0,0,0,1
3,2020,Service Now,Internship 40 K per month & Employment Rs.21.00 Lakhs p.a.,21,5,0,1,0,4,0,0,10
4,2020,Amazon - Through ACMS,Internship 60 K per month & Employment Rs.21.00 Lakhs p.a.,21,0,0,0,0,1,0,0,1
5,2020,CISCO,Internship 60 K per month & Employment Rs.18.00 Lakhs p.a.,18,2,0,1,0,1,0,0,4
7,2020,"Visa Inc.,",Rs.15.40 Lakhs p.a.,15.4,2,0,0,0,0,0,0,2
8,2020,Electronic Arts,Rs.13.24 Lakhs p.a.,13.24,1,0,0,0,1,0,0,2
9,2020,"Oracle India Private Ltd., (Vertical : GBU)",Vertical : GBU) (Internship 25 K per month & Employment Rs 11.00 Lakhs p.a,11,20,0,4,0,6,0,0,30
10,2020,"Oracle India Private Ltd., (Vertical : NetSuite)",Vertical : NetSuite)(Rs 11.00 Lakhs p.a,11,2,0,0,0,1,0,0,3
12,2020,FactSet,Internship 30 K per month & Employment Rs 9.00 Lakhs p.a,9,1,0,0,0,3,0,0,4
13,2020,LTI Limited Infinity Coding Challenge (ICC-2021),Rs.8.00 to 10.00 Lakhs p.a.,10,9,0,3,0,5,0,0,17
14,2020,Accolite Software India Pvt. Ltd,Internship 20 K per month & Employment Rs.9.00 Lakhs p.a.,9,5,0,1,0,0,0,0,6
15,2020,Accolite - Through Accolite Hiring Challenge 11.0,Internship 20 K per month & Employment Rs.9.00 Lakhs p.a.,9,3,0,4,0,5,0,0,12
16,2020,Invesco India Pvt Ltd,Rs.9.00 Lakhs p.a.,9,1,0,0,0,3,0,0,4
17,2020,Thoughtworks,Rs.8.32 Lakhs p.a.,8.32,1,0,1,0,1,0,0,3
18,2020,NCR Corporation,Internship 25 K Per month &Employment Rs. 8.00 Lakhs p.a.,8,9,0,2,0,7,0,0,18
19,2020,Infosys through - #HackwithInfy,Rs.8.00 Lakhs p.a.,8,3,0,1,0,0,0,0,4
20,2020,Magnitude Software,Internship 25 K Per month &Employment Rs.8.00 Lakhs p.a.,8,1,0,0,0,1,0,0,2
21,2020,Deloitte,Rs.7.60 Lakhs p.a.,7.6,11,0,27,7,12,0,0,57
22,2020,Model N Software,Rs.7.28 Lakhs p.a.,7.28,5,0,1,0,1,0,0,7
23,2020,TCS - Digital,Internship 15 K per month & Employment Rs 7.00 Lakhs p.a,7,13,0,7,0,8,3,0,31
24,2020,Kodem Legal Technologies,Internship 15 K per month & Employment Rs.7.00 Lakhs p.a.,7,2,0,0,0,5,0,0,7
25,2020,Loyalty Juggernaut,Internship 15 K per month & Employment Rs.7.00 Lakhs p.a.,7,5,0,0,0,1,0,0,6
26,2020,Verisk Analytics,Internship 20 K Per month &Employment Rs. 7.00 Lakhs p.a.,7,2,0,0,0,0,0,1,3
27,2020,Inncircles,15 K Per month &Employment Rs.7.00 Lakhs p.a.,7,1,0,0,0,2,0,0,3
28,2020,Zemoso Technologies,Internship 20 K Per month &Employment Rs. 6.89 Lakhs p.a.,6.89,2,0,0,0,0,0,0,2
29,2020,Cognizant - GenC Next,Internship 12 K Per month &Employment Rs.6.75 Lakhs p.a.,6.75,2,0,3,0,2,0,0,7
30,2020,LTI Limited,Rs.5.00 to 6.50 Lakhs p.a.,6.5,31,0,24,8,35,11,1,110
31,2020,Accenture,Rs.4.50 to 6.50 Lakhs p.a.,6.5,23,0,32,7,27,7,2,98
32,2020,Copart India Pvt. Ltd.,Internship 20 K Per month &Employment Rs.5.00 to 6.50 Lakhs p.a.,6.5,7,0,3,0,1,0,0,11
33,2020,MTX Group Inc - India,Rs.6.50 Lakhs p.a.,6.5,3,0,0,0,0,0,0,3
34,2020,"Hitachi Consulting Software Services India Pvt Ltd.,",Internship 20 K Per month &Employment Rs.6.25 Lakhs p.a.,6.25,0,0,0,0,2,0,0,2
35,2020,TaknevIT Services Pvt. Ltd,Internship 15 K Per month &Employment Rs. 6.00 Lakhs p.a.,6,2,0,0,0,1,0,0,3
36,2020,TechnipFMC (Female Drive),Female Drive)(Rs.6.00 Lakhs p.a.,6,0,0,0,0,0,2,0,2
37,2020,Epam,Internship 15 K Per month &Employment Rs.6.00 Lakhs p.a.,6,1,0,0,0,1,0,0,2
38,2020,IHS Markit,Rs.6.00 Lakhs p.a.,6,1,0,0,0,3,0,0,4
39,2020,Byjus,Rs.6.00 Lakhs p.a.,6,0,0,0,1,0,1,0,2
40,2020,Phenom People,Internship 15 K Per month &Employment Rs.4.50 to 5.05 Lakhs p.a.,5.05,3,0,0,0,4,0,0,7
41,2020,Infosys through -Infosys Certification,Rs.3.60 to 5.00 Lakhs p.a.,5,14,0,1,0,4,0,0,19
42,2020,Merilytics,Rs.5.00 Lakhs p.a.,5,3,0,0,0,2,0,0,5
43,2020,"Abjayon Consultancy Pvt. Ltd.,",Internship 10 K Per month &Employment Rs.5.00 Lakhs p.a.,5,1,0,0,0,1,0,0,2
44,2020,Unschool Learning,Rs.5.00 Lakhs p.a.,5,1,0,0,1,0,1,2,5
45,2020,Techigai Private Limited,During Training Rs.2.40 p.a. after Rs. 5.00 Lakhs p.a.,5,1,0,2,0,0,0,0,3
